Group_Detector,Right Ascension (Ra),Declination (Dec),Time Delay (t),Luminosity Distance (Dist),Polarization Angle (Pol),Mass (M),Inclination Angle (iota),Mass Ratio (eta),Initial Phase (phi)
group_60_ET_2,857.0447543612017,614.9222681424526,0.030791864000157126,715.2367352778589,631.677398775216,0.012325150355596368,114.2819398727117,0.012026170326535041,2010.8581266803906
group_60_ET_3,289.86886381855203,207.8358225655169,0.0038491538734890425,99.03481220864127,25.48946390213514,0.003801946917193797,65.78722626169673,0.0037128108498024584,479.39136402460065
group_61_ET_1,34.36133901770402,59.99846503780949,0.003097143349935651,223.33063485779186,711.0592516869958,0.0006565385562783709,303.75315476796163,0.0006375261488205843,1046.3879361431493
group_61_ET_2,96.60016693286073,168.16571492175552,0.0015967941290008798,457.9205220106814,1070.5341898924844,0.000584297213893852,1170.4798263025882,0.0005701429212965709,1089.7320803414818
group_61_ET_3,21.233225240897493,36.751482297659635,0.0025621149828229965,73.06988126302544,310.36679419702585,0.0006916097823482107,68.82606791947806,0.0006711060703640832,845.2707529603176
group_62_ET_1,16.588896111451994,12.452397181659302,0.0008454980790195501,8.775535991711555,385.09075140386693,0.0006226556063154881,23.22158995414606,0.0006048809914272434,822.3706885397658
group_62_ET_2,34.2564413447704,25.708090979905272,0.0012434842341163199,193.0361543157246,196.14340957731304,0.0006856991380650295,380.361348795994,0.0006672139724594698,500.8113647461991
group_62_ET_3,26.964631307592843,20.263179579810423,0.0020728458542007703,14.918426818244665,647.1282860768506,0.0006059122055495706,27.012847025218402,0.0005895863487251868,1200.2977271407804
group_63_ET_1,7.45597830078851,22.230711985029057,0.012234750870259456,74.37260436474722,468.88039063073074,0.0010818293367509933,191.14494332280105,0.0010475448798776097,849.8468334392886
group_63_ET_2,8.363171283181469,21.19925563321007,0.0120181160811082,8.73225346008271,461.672893342708,0.0009870986885158102,38.605806377003915,0.0009555293671403464,1005.5430208013631
group_63_ET_3,13.865666544419861,40.0066504098319,0.012918308797380453,253.92292102600686,481.2187873848556,0.0011733329862882475,439.7941410927491,0.0011365114270883035,808.9973182784345
group_64_ET_1,16.671533505664584,13.88228082685643,0.008514256406123024,37.926744892747784,339.6853823360689,0.0009057699740916964,82.52144013074094,0.000878213997147693,722.8241782015656
group_64_ET_2,31.469142721009064,25.430439755290216,0.007972203897547063,65.17487537673895,543.9655872614601,0.0006930280460517677,150.7798844334076,0.0006715737039515049,967.9043950961375
group_64_ET_3,14.295036046131298,11.51197829158871,0.008133853735597262,33.594525689821246,464.8188909505793,0.0007879553877165133,73.55500338922424,0.0007639311332003553,883.0903559463835
group_65_ET_1,58.1260965400567,9.380496876885825,0.0028810214635614315,137.50642165729766,691.5376557693052,0.0007229487172783517,265.61711420599397,0.0007024610787774026,1420.8637114706723
group_65_ET_2,14.866491503475936,2.3865191701237576,0.003583618421278044,60.44605430773164,639.5459756763215,0.0008286188915927951,137.70748869056322,0.0008034903763473919,1286.119600637461
group_65_ET_3,55.27872454944962,8.940522522813795,0.002119839912123676,248.04590936442807,653.127448111916,0.0009706722090364214,557.1531542484616,0.0009420477389790099,1275.7377319808163
group_66_ET_1,47.6609185399204,6.744431567297453,0.008608037099342828,57.37545647221424,493.3834118116019,0.0011648191952476042,103.85262372780161,0.0011280191795915476,1009.7523131587651
group_66_ET_2,38.470016630677506,5.744496468934232,0.010157713219204964,53.42839259627245,833.0103665399937,0.001250655107490508,117.29636981549794,0.0012108999823466353,1646.704210711922
group_66_ET_3,47.71808739216711,6.7041353909968056,0.008867983626933274,203.31885420442538,500.9051717611061,0.0012500930620018183,468.23310547423125,0.0012113879769015676,1031.6856447850685
group_67_ET_1,8.817201107962159,12.953917763505652,0.00208235290491527,35.09614457665728,435.22843939360087,0.0005404600312697361,86.39720161760394,0.0005247030423899092,824.9688700751052
group_67_ET_2,22.311083187044243,32.684209842812834,0.0018348306623561911,161.95845575746398,487.5299646891965,0.0005445686784526782,318.97019729005956,0.0005289318486064123,859.2797052756122
group_67_ET_3,8.948929963608087,13.088983053217223,0.0011638494496349506,22.24717549897316,385.9555511690505,0.0004883957554048555,58.16447526375808,0.00047474126630935547,816.7789005859313
group_68_ET_1,4.916555931819751,3.246753719405918,0.014148012906922197,350.461135390688,1648.8505382732317,0.002695122357098401,793.4132283379705,0.002612594782920475,3291.6827828299542
group_68_ET_2,96.37336584250137,57.77658827033361,0.005611083606762117,2617.9180576595186,731.6343556239514,0.0013657616549435138,5931.985638326663,0.0013306053621001985,1564.0721236538286
group_68_ET_3,29.99453730322426,17.956530549316735,0.006268336828366438,38625.20944826781,1113.3529549145785,0.001115952712055207,87817.19769478474,0.0010798775666588565,1426.865141029171
group_69_ET_1,3.998333061907981,5.536385390894088,0.009072553057624486,52.23926052822427,466.1885840779067,0.0009633963386625237,113.43036666710563,0.0009325794705517889,941.0442019695156
group_69_ET_2,7.675434165791458,10.165240039004063,0.0098151916955164,50.425531784656336,520.2817583523523,0.0010176813709665425,111.42049767679516,0.0009848935692403787,1032.7720897817212
group_69_ET_3,3.796029782995167,5.309607626023188,0.009210233440483126,64.20557866492807,472.7146562123906,0.0009795727626971515,147.20476613965903,0.0009482854628639286,954.3753287025879
group_70_ET_1,25.48282403915123,26.93295377647374,0.00209917651393965,1007.9143487626797,645.2848387344029,0.0008509178192784875,1919.8640693142383,0.0008278984925190595,1477.3901038720626
group_70_ET_2,44.64705734949989,47.20469779799094,0.003485879521865098,367.46675177962896,828.8856549731548,0.0010034846834328882,732.1689742117443,0.0009752736546812995,1751.9550233084578
group_70_ET_3,32.97997343071175,34.866913185491775,0.004421807150536607,403.8755235505802,1359.400993505034,0.0016179972658975014,924.5629777852579,0.0015727304356699982,2871.2670375101075
